station.ids,time.stamps,latitudes,longitudes,temperature.values,temperature.unit.codes,temperature.quality.controls,dewpoint.values,dewpoint.unit.codes,dewpoint.quality.controls,wind.speed.values,wind.speed.unit.codes,wind.speed.quality.controls,wind.direction.values,wind.direction.unit.codes,wind.direction.quality.controls,wind.gust.values,wind.gust.unit.codes,wind.gust.quality.controls,wind.chill.values,wind.chill.unit.codes,wind.chill.quality.controls,barometric.pressure.values,barometric.pressure.unit.codes,barometric.pressure.quality.controls,sea.level.pressure.values,sea.level.pressure.unit.codes,sea.level.pressure.quality.controls,relative.humidity.values,relative.humidity.unit.codes,relative.humidity.quality.controls,visibility.values,visibility.unit.codes,visibility.quality.controls,heat.index.values,heat.index.unit.codes,heat.index.quality.controls
KOCF,1563652260,29.16667,-82.2166699,33.900000000000034,unit:degC,qc:V,22.200000000000045,unit:degC,qc:V,2.6,unit:m_s-1,qc:V,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101720,unit:Pa,qc:V,50.545893649323204,unit:percent,qc:C,16090,unit:m,qc:C,38.356954591421925,unit:degC,qc:V
KMLB,1563652380,28.09973,-80.6356,30,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,4.1,unit:m_s-1,qc:V,90,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101760,unit:Pa,qc:V,67.39116386417842,unit:percent,qc:C,16090,unit:m,qc:C,34.421726684615805,unit:degC,qc:V
KDED,1563654900,29.067,-81.2837,NA,unit:degC,qc:Z,NA,unit:degC,qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,NA,unit:Pa,qc:Z,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KCOF,1563652560,28.24219,-80.60799,30.400000000000034,unit:degC,qc:V,25.400000000000034,unit:degC,qc:V,4.1,unit:m_s-1,qc:V,119.99999999999999,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101840,unit:Pa,qc:V,74.69267754691174,unit:percent,qc:C,16090,unit:m,qc:C,37.32808599506251,unit:degC,qc:V
KOBE,1563656100,27.2628,-80.8498,30,unit:degC,qc:V,24,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,70.29306142592459,unit:percent,qc:C,16090,unit:m,qc:C,35.10904689010306,unit:degC,qc:V
KTTS,1563652560,28.61667,-80.7,31.900000000000034,unit:degC,qc:V,NA,unit:degC,qc:Z,3.1,unit:m_s-1,qc:V,130,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101800,unit:Pa,qc:V,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KEVB,1563655620,29.05687,-80.94909,32,unit:degC,qc:V,23,unit:degC,qc:V,5.1,unit:m_s-1,qc:V,119.99999999999999,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,59.04479527455803,unit:percent,qc:C,16090,unit:m,qc:C,36.78839360480612,unit:degC,qc:V
KFMY,1563655140,26.58417,-81.8625,23.900000000000034,unit:degC,qc:S,22.200000000000045,unit:degC,qc:S,2.1,unit:m_s-1,qc:S,190,unit:degree_(angle),qc:S,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:S,NA,unit:Pa,qc:Z,90.2262552214784,unit:percent,qc:C,14480,unit:m,qc:C,24.701463330783042,unit:degC,qc:V
KVRB,1563652380,27.65556,-80.41806,30,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,3.1,unit:m_s-1,qc:V,100,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101780,unit:Pa,qc:V,69.87192274116452,unit:percent,qc:C,16090,unit:m,qc:C,35.00708954304156,unit:degC,qc:V
KX60,1563654900,29.3557,-82.4719,29.900000000000034,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,5.144,unit:m_s-1,qc:V,300,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,70.2746999283573,unit:percent,qc:C,16093,unit:m,qc:C,34.860670859089794,unit:degC,qc:V
