time.stamps,temperature,prob.precip,qty.precip
1564340400,32.222222222222285,52,2.032
1564344000,31.666666666666742,52,2.032
1564347600,31.1111111111112,52,2.032
1564351200,30.000000000000057,52,2.032
1564354800,28.88888888888897,52,2.032
1564358400,27.222222222222285,31,0.508
1564362000,26.1111111111112,31,0.508
1564365600,25.5555555555556,31,0.508
1564369200,24.444444444444514,31,0.508
1564372800,24.444444444444514,31,0.508
1564376400,23.88888888888897,31,0.508
1564380000,23.88888888888897,17,0.508
1564383600,23.88888888888897,17,0.508
1564387200,23.33333333333337,17,0.508
1564390800,22.77777777777783,17,0.508
1564394400,22.77777777777783,17,0.508
1564398000,22.77777777777783,17,0.508
1564401600,23.33333333333337,17,0.254
1564405200,25.5555555555556,17,0.254
1564408800,27.222222222222285,17,0.254
1564412400,29.444444444444514,17,0.254
1564416000,30.5555555555556,17,0.254
1564419600,31.1111111111112,17,0.254
1564423200,31.666666666666742,45,0.762
1564426800,31.666666666666742,45,0.762
1564430400,31.1111111111112,45,0.762
1564434000,30.5555555555556,45,0.762
1564437600,29.444444444444514,45,0.762
1564441200,28.33333333333337,45,0.762
1564444800,27.222222222222285,25,0.254
1564448400,26.666666666666742,25,0.254
1564452000,25.5555555555556,25,0.254
1564455600,25.000000000000057,25,0.254
1564459200,24.444444444444514,25,0.254
1564462800,24.444444444444514,25,0.254
1564466400,23.88888888888897,13,0
1564470000,23.88888888888897,13,0
1564473600,23.33333333333337,13,0
1564477200,23.33333333333337,13,0
1564480800,22.77777777777783,13,0
1564484400,23.33333333333337,13,0
1564488000,23.88888888888897,26,0.254
1564491600,25.5555555555556,26,0.254
1564495200,27.77777777777783,26,0.254
1564498800,29.444444444444514,26,0.254
1564502400,30.5555555555556,26,0.254
1564506000,31.666666666666742,26,0.254
1564509600,31.666666666666742,45,0.254
1564513200,31.666666666666742,45,0.254
1564516800,31.1111111111112,45,0.254
1564520400,30.000000000000057,45,0.254
1564524000,29.444444444444514,45,0.254
1564527600,28.33333333333337,45,0.254
1564531200,27.77777777777783,24,0.254
